,word,meaning_jp,meaning_cn,example_jp,example_cn
0,あ,1. 感嘆詞。驚き・呼びかけなどを表す。,1. 感叹词。表示惊奇、呼唤等。,A: あ、そうだ！B: なにかあったの？,A: 啊，对了！B: 有什么事吗？
1,あ,2. 五十音の最初の文字。,2.五十音的第一个字母。,A: この言葉の最初の文字は何？B: あだよ。,A: 这个单词的第一个字母是什么？B: 是“あ”。
2,ああ,1. 驚きや感動を表す間投詞,1. 表示惊讶或感动的感叹词,A: ああ、もう遅刻しちゃった。B: 大丈夫、今日は遅刻してもいいよ。,A: 啊，已经迟到了。B: 没关系，今天迟到也没关系。
3,ああ,2. 音声や声の表現として、うんざりしたり、がっかりしたりするときに使う感嘆詞,2. 作为声音或声音的表达，在感到烦恼或失望时使用的感叹词,A: 明日の天気予報を見た？B: ああ、また雨かよ。,A: 看了明天的天气预报吗？B: 哎，又下雨了。
4,あさって,1. 明後日,1. 后天,A: 今日は何曜日？B: 木曜日だよ。A: あ、つまり、あさっては何曜日になる？B: 土曜日だね。,A: 今天星期几？B: 星期四。A: 那么，明天是星期几？B: 星期六。
5,あそこ,1. 目の届かない場所、遠くの場所,1. 看不到的地方、远处的地方,A: あの店、どこにあるの？B: あそこだよ、あの高いビルの向こう側だよ。,A: 那家店在哪里？B: 在那里，那个高楼的对面。
6,あそこ,2. 相手がいる場所を指して,2. 指对方所在的地方,A: キムさん、今どこにいるの？B: あそこにいるよ、黄色いTシャツを着ているよ。,A: Kim在哪里？B: 在那里，穿着黄色的T恤。
7,あちら,1. 相手の方、向こう側,1. 对方、那边,A: あの人、どちらから来たんですか？B: あちらから来たんです。,A: 那个人是从哪里来的？B: 他是从那边来的。
8,あちら,2. あっち,2. 那边、那边儿,A: あの店はどこですか？B: あちらです。A: あっ、あの建物の向こう側ですね。,A: 那个店在哪里？B: 在那边。A: 啊，就是那个建筑物的那一边对吧。
9,あっ,1. 突然に～する、急に～する,1. 突然做某事、突然发生某事,A: あっ、傘を忘れた！B: 大丈夫、私が貸してあげるよ。,A: 啊，忘了带伞了！B: 没事，我借给你。
10,あっ,2. （驚いたときの声）あれっ、あらっ、あら？,2. （惊讶时的表达）啊，哎，哦？,A: あっ、お金が落ちてる！B: 本当だ、ありがとう。,A: 啊，有钱掉了！B: 真的啊，谢谢。
11,あっ,3. 突然に思い出す、ふと思い出す,3. 突然想起、突然记起,A: この曲、どこかで聴いたことあるような…。B: あっ、昨日のテレビで流れてたんじゃない？,A: 这首歌好像在哪里听过……B: 啊，不是昨天电视上播放的吗？
12,あなた,1. 自分以外の人に対して呼びかけるときに使う二人称代名詞,1. 用于称呼除自己以外的人的第二人称代词,A: あなた、何してるの？B: ただここで休んでるだけです。,A: 你在干什么？B: 只是在这里休息而已。
13,あなた,2. 相手を表す代名詞として用いる,2. 作为表示对方的代词使用,A: あなたのことが好きだと言ったらどう思う？B: それはとても嬉しいです。,A: 如果我说我喜欢你，你会怎么想？B: 那非常开心。
14,あの,1. ある人や物を指し示す際に使われる言葉,1. 指示某个人或物的用语,A: あの人が誰か知っていますか？B: あの人は新しい社員です。,A: 那个人你知道是谁吗？B: 那个人是新来的员工。
15,あの,2. 述べた内容を思い出し、言葉を繰り返すときに使われる言葉,2.回想先前所说的内容时用于重复的用语,A: 昨日の夕食、何を食べたっけ？B: あの、焼肉でしたよ。,A: 昨天晚餐吃了什么来着？B: 那个，是吃了烤肉。
16,あめ,1. 雨,1. 雨,A: 今日はあめが降る予報だね。B: そうだよ。傘を持っていこう。,A: 今天预报说会下雨。B: 是啊，我们要带伞。
17,あめ,2. 砂糖菓子,2. 糖果,A: あめを食べたいなあ。B: ああ、あの砂糖菓子ね。,A: 我想吃糖果。B: 啊，你指的是那个砂糖菓子吧。
18,ありがとう,感謝の気持ちを表す挨拶,表示感激之情的问候语,A: 昨日は手伝ってくれてありがとう。B: いいよ、また何かあったら言ってね。,A: 昨天谢谢你帮忙。B: 没关系，有什么事再说吧。
19,ある,1. 存在する、ある状態である,1. 存在，处于某种状态,A: この部屋には本があるよ。B: 何冊くらいあるの？,A: 这个房间有书。B: 大约有几本？
20,ある,2. 一定の状態や状況が成立している,2. 某种情况或状态下成立,A: 彼にはある秘密があるんだって。B: 本当に？どんな秘密なんだろう。,A: 他好像有一个秘密。B: 真的吗？那是什么秘密呢？
